"OreDict Key","ItemStacks"
"hearthstone","[naturalpledge:resource@7 - 'Hearth Ember' - <no NBT>]; [naturalpledge:resource@8 - 'Awakened Hearth Ember' - <no NBT>]"
"hearthstoneAwakened","[naturalpledge:resource@8 - 'Awakened Hearth Ember' - <no NBT>]"
"heavyPlateCopper","[magneticraft:heavy_plates@2 - 'Heavy Copper Plate' - <no NBT>]"
"heavyPlateGold","[magneticraft:heavy_plates@1 - 'Heavy Gold Plate' - <no NBT>]"
"heavyPlateIron","[magneticraft:heavy_plates@0 - 'Heavy Iron Plate' - <no NBT>]"
"heavyPlateLead","[magneticraft:heavy_plates@3 - 'Heavy Lead Plate' - <no NBT>]"
"heavyPlateSteel","[magneticraft:heavy_plates@6 - 'Heavy Steel Plate' - <no NBT>]"
"heavyPlateTungsten","[magneticraft:heavy_plates@5 - 'Heavy Tungsten Plate' - <no NBT>]"
"holySymbol","[naturalpledge:holy_symbol@0 - 'Holy Symbol' - <no NBT>]"
"hopper","[minecraft:hopper@0 - 'Hopper' - <no NBT>]"
"ic2Extractor","[techreborn:extractor@0 - 'Extractor' - <no NBT>]"
"ic2Generator","[techreborn:solid_fuel_generator@0 - 'Generator' - <no NBT>]"
"ic2Macerator","[techreborn:grinder@0 - 'Grinder' - <no NBT>]"
"ic2Pump","[techreborn:pump@0 - 'Pump' - <no NBT>]"
"ic2SolarPanel","[techreborn:solar_panel@0 - '=Solar Panel' - <no NBT>]"
"ic2Watermill","[techreborn:water_mill@0 - 'Water Mill' - <no NBT>]"
"ic2Windmill","[techreborn:wind_mill@0 - 'Wind Mill' - <no NBT>]"
"ice","[chisel:ice@0 - 'Ice' - <no NBT>]; [chisel:ice@1 - 'Ice' - <no NBT>]; [chisel:ice@2 - 'Ice' - <no NBT>]; [chisel:ice@3 - 'Ice' - <no NBT>]; [chisel:ice@4 - 'Ice' - <no NBT>]; [chisel:ice@5 - 'Ice' - <no NBT>]; [chisel:ice@6 - 'Ice' - <no NBT>]; [chisel:ice@7 - 'Ice' - <no NBT>]; [chisel:ice@8 - 'Ice' - <no NBT>]; [chisel:ice@9 - 'Ice' - <no NBT>]; [chisel:ice@10 - 'Ice' - <no NBT>]; [chisel:ice@11 - 'Ice' - <no NBT>]; [chisel:ice@12 - 'Ice' - <no NBT>]; [chisel:ice@13 - 'Ice' - <no NBT>]; [chisel:ice@14 - 'Ice' - <no NBT>]; [chisel:ice@15 - 'Ice' - <no NBT>]; [chisel:ice1@0 - 'Ice' - <no NBT>]; [chisel:ice1@1 - 'Ice' - <no NBT>]; [chisel:ice1@2 - 'Ice' - <no NBT>]; [chisel:ice1@3 - 'Ice' - <no NBT>]; [chisel:ice1@4 - 'Ice' - <no NBT>]; [chisel:ice1@5 - 'Ice' - <no NBT>]; [chisel:ice1@6 - 'Ice' - <no NBT>]; [chisel:ice1@7 - 'Ice' - <no NBT>]; [chisel:ice1@8 - 'Ice' - <no NBT>]; [chisel:ice1@9 - 'Ice' - <no NBT>]; [chisel:ice1@10 - 'Ice' - <no NBT>]; [chisel:ice1@11 - 'Ice' - <no NBT>]; [chisel:ice1@12 - 'Ice' - <no NBT>]; [chisel:ice1@13 - 'Ice' - <no NBT>]; [chisel:ice1@14 - 'Ice' - <no NBT>]; [chisel:ice1@15 - 'Ice' - <no NBT>]; [chisel:ice2@0 - 'Ice' - <no NBT>]; [chisel:icepillar@0 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@1 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@2 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@3 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@4 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@5 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@6 - 'Ice Pillar' - <no NBT>]; [minecraft:ice@0 - 'Ice' - <no NBT>]"
"industrialTnt","[minecraft:tnt@0 - 'TNT' - <no NBT>]"
"ingotAdamantine",""
"ingotAdaminite","[thaumadditions:adaminite_ingot@0 - 'Adaminite Ingot' - <no NBT>]"
"ingotAdvancedAlloy","[techreborn:ingot@20 - 'Advanced Alloy Ingot' - <no NBT>]"
"ingotAlchemical","[planarartifice:alkimium_ingot@0 - 'Alkimium Ingot' - <no NBT>]"
"ingotAlkimium","[planarartifice:alkimium_ingot@0 - 'Alkimium Ingot' - <no NBT>]"
"ingotAlubrass","[tconstruct:ingots@5 - 'Aluminum Brass Ingot' - <no NBT>]"
"ingotAluminium","[magneticraft:ingots@7 - 'Aluminium Ingot' - <no NBT>]; [thermalfoundation:material@132 - 'Aluminum Ingot' - <no NBT>]"
"ingotAluminum","[thermalfoundation:material@132 - 'Aluminum Ingot' - <no NBT>]; [magneticraft:ingots@7 - 'Aluminium Ingot' - <no NBT>]"
"ingotAluminumBrass",""
"ingotAlumite","[plustic:alumiteingot@0 - 'Alumite Ingot' - <no NBT>]"
"ingotAmericium241","[nuclearcraft:americium@0 - 'Americium-241' - <no NBT>]; [nuclearcraft:americium@1 - 'Americium-241 Oxide' - <no NBT>]"
"ingotAmericium241Base","[nuclearcraft:americium@0 - 'Americium-241' - <no NBT>]"
"ingotAmericium241Oxide","[nuclearcraft:americium@1 - 'Americium-241 Oxide' - <no NBT>]"
"ingotAmericium242","[nuclearcraft:americium@4 - 'Americium-242' - <no NBT>]"
"ingotAmericium242Base","[nuclearcraft:americium@4 - 'Americium-242' - <no NBT>]"
"ingotAmericium242Oxide","[nuclearcraft:americium@5 - 'Americium-242 Oxide' - <no NBT>]"
"ingotAmericium243","[nuclearcraft:americium@8 - 'Americium-243' - <no NBT>]; [nuclearcraft:americium@9 - 'Americium-243 Oxide' - <no NBT>]"
"ingotAmericium243Base","[nuclearcraft:americium@8 - 'Americium-243' - <no NBT>]"
"ingotAmericium243Oxide","[nuclearcraft:americium@9 - 'Americium-243 Oxide' - <no NBT>]"
"ingotAmordrine",""
"ingotAngmallen",""
"ingotAntimony","[soot:ingot_antimony@0 - 'Antimony Ingot' - <no NBT>]"
"ingotArdite","[tconstruct:ingots@1 - 'Ardite Ingot' - <no NBT>]"
"ingotAstralSilver",""
"ingotAstralStarmetal","[astralsorcery:itemcraftingcomponent@1 - 'Starmetal Ingot' - <no NBT>]"
"ingotAtlarus",""
"ingotBaseEssence","[mysticalagriculture:crafting@32 - 'Base Essence Ingot' - <no NBT>]"
"ingotBerkelium247","[nuclearcraft:berkelium@0 - 'Berkelium-247' - <no NBT>]; [nuclearcraft:berkelium@1 - 'Berkelium-247 Oxide' - <no NBT>]"
"ingotBerkelium247Base","[nuclearcraft:berkelium@0 - 'Berkelium-247' - <no NBT>]"
"ingotBerkelium247Oxide","[nuclearcraft:berkelium@1 - 'Berkelium-247 Oxide' - <no NBT>]"
"ingotBerkelium248","[nuclearcraft:berkelium@4 - 'Berkelium-248' - <no NBT>]"
"ingotBerkelium248Base","[nuclearcraft:berkelium@4 - 'Berkelium-248' - <no NBT>]"
"ingotBerkelium248Oxide","[nuclearcraft:berkelium@5 - 'Berkelium-248 Oxide' - <no NBT>]"
"ingotBeryllium","[nuclearcraft:ingot@9 - 'Beryllium Ingot' - <no NBT>]"
"ingotBismuth","[planarartifice:bismuth_ingot@0 - 'Bismuth Ingot' - <no NBT>]"
"ingotBlackIron","[extendedcrafting:material@0 - 'Black Iron Ingot' - <no NBT>]"
"ingotBlackSteel",""
"ingotBloodBronze","[bloodtinker:blood_bronze_ingot@0 - 'Blood Bronze Ingot' - <no NBT>]"
"ingotBloodInfusedIron","[bloodarsenal:base_item@4 - 'Blood Infused Iron Ingot' - <no NBT>]"
"ingotBlutonium","[bigreactors:ingotblutonium@0 - 'Blutonium Ingot' - <no NBT>]"
"ingotBoron","[nuclearcraft:ingot@5 - 'Boron Ingot' - <no NBT>]"
"ingotBoron10","[nuclearcraft:boron@0 - 'Boron-10' - <no NBT>]"
"ingotBoron11","[nuclearcraft:boron@2 - 'Boron-11' - <no NBT>]"
"ingotBrass","[techreborn:ingot@1 - 'Brass Ingot' - <no NBT>]; [thaumcraft:ingot@2 - 'Alchemical Brass Ingot' - <no NBT>]"
"ingotBrick","[minecraft:brick@0 - 'Brick' - <no NBT>]"
"ingotBrickNether","[minecraft:netherbrick@0 - 'Nether Brick' - <no NBT>]"
"ingotBrickNetherGlazed","[enderio:item_material@72 - 'Nethercotta' - <no NBT>]"
"ingotBrickSeared","[tconstruct:materials@0 - 'Seared Brick' - <no NBT>]"
"ingotBronze","[thermalfoundation:material@163 - 'Bronze Ingot' - <no NBT>]"
"ingotCalifornium249","[nuclearcraft:californium@0 - 'Californium-249' - <no NBT>]"
"ingotCalifornium249Base","[nuclearcraft:californium@0 - 'Californium-249' - <no NBT>]"
"ingotCalifornium249Oxide","[nuclearcraft:californium@1 - 'Californium-249 Oxide' - <no NBT>]"
"ingotCalifornium250","[nuclearcraft:californium@4 - 'Californium-250' - <no NBT>]; [nuclearcraft:californium@5 - 'Californium-250 Oxide' - <no NBT>]"
"ingotCalifornium250Base","[nuclearcraft:californium@4 - 'Californium-250' - <no NBT>]"
"ingotCalifornium250Oxide","[nuclearcraft:californium@5 - 'Californium-250 Oxide' - <no NBT>]"
"ingotCalifornium251","[nuclearcraft:californium@8 - 'Californium-251' - <no NBT>]"
"ingotCalifornium251Base","[nuclearcraft:californium@8 - 'Californium-251' - <no NBT>]"
"ingotCalifornium251Oxide","[nuclearcraft:californium@9 - 'Californium-251 Oxide' - <no NBT>]"
"ingotCalifornium252","[nuclearcraft:californium@12 - 'Californium-252' - <no NBT>]; [nuclearcraft:californium@13 - 'Californium-252 Oxide' - <no NBT>]"
"ingotCalifornium252Base","[nuclearcraft:californium@12 - 'Californium-252' - <no NBT>]"
"ingotCalifornium252Oxide","[nuclearcraft:californium@13 - 'Californium-252 Oxide' - <no NBT>]"
"ingotCarmot",""
"ingotCelenegil",""
"ingotCeruclase",""
"ingotChocolate","[nuclearcraft:milk_chocolate@0 - 'Milk Chocolate' - <no NBT>]"
"ingotChrome","[techreborn:ingot@3 - 'Chrome Ingot' - <no NBT>]"
"ingotChromium","[techreborn:ingot@3 - 'Chrome Ingot' - <no NBT>]"
"ingotCoal",""
"ingotCobalt","[tconstruct:ingots@0 - 'Cobalt Ingot' - <no NBT>]; [magneticraft:ingots@4 - 'Cobalt Ingot' - <no NBT>]"
"ingotCocoaButter","[nuclearcraft:cocoa_butter@0 - 'Solidified Cocoa Butter' - <no NBT>]"
"ingotColdIron","[bewitchment:cold_iron_ingot@0 - 'Cold Iron Ingot' - <no NBT>]"
"ingotConductiveIron","[enderio:item_alloy_ingot@4 - 'Conductive Iron Ingot' - <no NBT>]"
"ingotConstantan","[thermalfoundation:material@164 - 'Constantan Ingot' - <no NBT>]"
"ingotConstructionAlloy","[enderio:item_alloy_ingot@9 - 'Iron Alloy Ingot' - <no NBT>]"
"ingotCopper","[thermalfoundation:material@128 - 'Copper Ingot' - <no NBT>]; [magneticraft:ingots@2 - 'Copper Ingot' - <no NBT>]"
"ingotCosmicNeutronium","[avaritia:resource@4 - 'Neutronium Ingot' - <no NBT>]"
"ingotCrudeSteel","[enderio:item_alloy_endergy_ingot@0 - 'Crude Steel Ingot' - <no NBT>]"
"ingotCrystalMatrix","[avaritia:resource@1 - 'Crystal Matrix Ingot' - <no NBT>]"
"ingotCrystallineAlloy","[enderio:item_alloy_endergy_ingot@1 - 'Crystalline Alloy Ingot' - <no NBT>]"
"ingotCrystallinePinkSlime","[enderio:item_alloy_endergy_ingot@4 - 'Crystalline Pink Slime Ingot' - <no NBT>]"
"ingotCrystaltine","[extendedcrafting:material@24 - 'Crystaltine Ingot' - <no NBT>]"
"ingotCurium243","[nuclearcraft:curium@0 - 'Curium-243' - <no NBT>]"
"ingotCurium243Base","[nuclearcraft:curium@0 - 'Curium-243' - <no NBT>]"
"ingotCurium243Oxide","[nuclearcraft:curium@1 - 'Curium-243 Oxide' - <no NBT>]"
"ingotCurium245","[nuclearcraft:curium@4 - 'Curium-245' - <no NBT>]"
"ingotCurium245Base","[nuclearcraft:curium@4 - 'Curium-245' - <no NBT>]"
"ingotCurium245Oxide","[nuclearcraft:curium@5 - 'Curium-245 Oxide' - <no NBT>]"
"ingotCurium246","[nuclearcraft:curium@8 - 'Curium-246' - <no NBT>]; [nuclearcraft:curium@9 - 'Curium-246 Oxide' - <no NBT>]"
"ingotCurium246Base","[nuclearcraft:curium@8 - 'Curium-246' - <no NBT>]"
"ingotCurium246Oxide","[nuclearcraft:curium@9 - 'Curium-246 Oxide' - <no NBT>]"
"ingotCurium247","[nuclearcraft:curium@12 - 'Curium-247' - <no NBT>]"
"ingotCurium247Base","[nuclearcraft:curium@12 - 'Curium-247' - <no NBT>]"
"ingotCurium247Oxide","[nuclearcraft:curium@13 - 'Curium-247 Oxide' - <no NBT>]"
"ingotCyanite","[bigreactors:ingotcyanite@0 - 'Cyanite Ingot' - <no NBT>]"
"ingotDamascusSteel",""
"ingotDarkChocolate","[nuclearcraft:dark_chocolate@0 - 'Dark Chocolate' - <no NBT>]"
"ingotDarkSoularium",""
"ingotDarkSteel","[enderio:item_alloy_ingot@6 - 'Dark Steel Ingot' - <no NBT>]"
"ingotDawnstone","[embers:ingot_dawnstone@0 - 'Dawnstone Ingot' - <no NBT>]"
"ingotDeepIron",""
"ingotDraconium","[draconicevolution:draconium_ingot@0 - 'Draconium Ingot' - <no NBT>]"
"ingotDraconiumAwakened","[draconicevolution:draconic_ingot@0 - 'Awakened Draconium Ingot' - <no NBT>]"
"ingotEbony",""
"ingotEbonyPsi","[psi:material@3 - 'Ebony Psimetal Ingot' - <no NBT>]"
"ingotElectricalSteel","[enderio:item_alloy_ingot@0 - 'Electrical Steel Ingot' - <no NBT>]"
"ingotElectrum","[thermalfoundation:material@161 - 'Electrum Ingot' - <no NBT>]"
"ingotElectrumFlux","[redstonearsenal:material@32 - 'Fluxed Electrum Ingot' - <no NBT>]"
"ingotElvenElementium","[botania:manaresource@7 - 'Elementium Ingot' - <no NBT>]"
"ingotEndSteel","[enderio:item_alloy_ingot@8 - 'End Steel Ingot' - <no NBT>]"
"ingotEnder","[extendedcrafting:material@36 - 'Ender Ingot' - <no NBT>]"
"ingotEnderEnhanced","[extendedcrafting:material@48 - 'Enhanced Ender Ingot' - <no NBT>]"
"ingotEnderium","[thermalfoundation:material@167 - 'Enderium Ingot' - <no NBT>]"
"ingotEnderiumBase","[enderio:item_material@39 - 'Enderium Base' - <no NBT>]"
"ingotEnergeticAlloy","[enderio:item_alloy_ingot@1 - 'Energetic Alloy Ingot' - <no NBT>]"
"ingotEnergeticSilver","[enderio:item_alloy_endergy_ingot@5 - 'Energetic Silver Ingot' - <no NBT>]"
"ingotExtreme","[nuclearcraft:alloy@10 - 'Extreme Alloy' - <no NBT>]"
"ingotFerroboron","[nuclearcraft:alloy@6 - 'Ferroboron Alloy' - <no NBT>]"
"ingotFlint","[tp:flint_ingot@0 - 'Flint Ingot - [WIP]' - <no NBT>]"
"ingotGaia",""
"ingotGaiasteel","[botanicadds:gaiasteel_ingot@0 - 'Gaiasteel Ingot' - <no NBT>]"
"ingotGelidEnderium","[redstonerepository:material@1 - 'Gelid Enderium Ingot' - <no NBT>]"
"ingotGlitchInfused","[deepmoblearning:glitch_infused_ingot@0 - 'Glitch Infused Ingot' - <no NBT>]"
"ingotGold","[minecraft:gold_ingot@0 - 'Gold Ingot' - <no NBT>]"
"ingotGraphite","[nuclearcraft:ingot@8 - 'Graphite Ingot' - <no NBT>]"
"ingotHOPGraphite","[immersiveengineering:material@19 - 'HOP Graphite Ingot' - <no NBT>]"
"ingotHSLASteel","[nuclearcraft:alloy@15 - 'HSLA Steel Ingot' - <no NBT>]"
"ingotHaderoth",""
"ingotHardCarbon","[nuclearcraft:alloy@2 - 'Hard Carbon Alloy' - <no NBT>]"
"ingotHepatizon",""
"ingotHotTungstensteel","[techreborn:ingot@16 - 'Hot Tungstensteel Ingot' - <no NBT>]"
"ingotIgnatius",""
"ingotInferium","[mysticalagriculture:crafting@33 - 'Inferium Ingot' - <no NBT>]"
"ingotInfinity","[avaritia:resource@6 - 'Infinity Ingot' - <no NBT>]"
"ingotInfuscolium",""
"ingotInolashite",""
"ingotInsanium","[mysticalagradditions:insanium@2 - 'Insanium Ingot' - <no NBT>]"
"ingotIntermedium","[mysticalagriculture:crafting@35 - 'Intermedium Ingot' - <no NBT>]"
"ingotInvar","[thermalfoundation:material@162 - 'Invar Ingot' - <no NBT>]"
"ingotIridium","[thermalfoundation:material@135 - 'Iridium Ingot' - <no NBT>]"
"ingotIridiumAlloy","[techreborn:ingot@22 - 'Iridium Alloy Ingot' - <no NBT>]"
"ingotIron","[minecraft:iron_ingot@0 - 'Iron Ingot' - <no NBT>]"
"ingotIronCompressed","[pneumaticcraft:ingot_iron_compressed@0 - 'Compressed Iron Ingot' - <no NBT>]"
"ingotIvoryPsi","[psi:material@4 - 'Ivory Psimetal Ingot' - <no NBT>]"
"ingotKalendrite",""
"ingotKnightslime","[tconstruct:ingots@3 - 'Knightslime Ingot' - <no NBT>]"
"ingotLapis","[tp:lapis_ingot@0 - 'Lapis Ingot' - <no NBT>]"
"ingotLead","[thermalfoundation:material@131 - 'Lead Ingot' - <no NBT>]; [magneticraft:ingots@3 - 'Lead Ingot' - <no NBT>]"
"ingotLeadPlatinum","[nuclearcraft:alloy@9 - 'Lead Platinum Alloy' - <no NBT>]"
"ingotLemurite",""
"ingotLight","[tg:ingot_light@0 - 'Ingot of Light' - <no NBT>]"
"ingotLithium","[nuclearcraft:ingot@6 - 'Lithium Ingot' - <no NBT>]"
"ingotLithium6","[nuclearcraft:lithium@0 - 'Lithium-6' - <no NBT>]"
"ingotLithium7","[nuclearcraft:lithium@2 - 'Lithium-7' - <no NBT>]"
"ingotLithiumManganeseDioxide","[nuclearcraft:alloy@4 - 'Lithium Manganese Dioxide Alloy' - <no NBT>]"
"ingotLivium","[thaumic_arcana:ingot_livium@0 - 'Livium Ingot' - <no NBT>]"
"ingotLudicrite","[bigreactors:ingotludicrite@0 - 'Ludicrite Ingot' - <no NBT>]"
"ingotLumium","[thermalfoundation:material@166 - 'Lumium Ingot' - <no NBT>]"
"ingotMagnesium","[nuclearcraft:ingot@7 - 'Magnesium Ingot' - <no NBT>]"
"ingotMagnesiumDiboride","[nuclearcraft:alloy@3 - 'Magnesium Diboride Alloy' - <no NBT>]"
"ingotManasteel","[botania:manaresource@0 - 'Manasteel Ingot' - <no NBT>]"
"ingotManganese","[nuclearcraft:ingot@11 - 'Manganese Ingot' - <no NBT>]"
"ingotManganeseDioxide","[nuclearcraft:ingot_oxide@3 - 'Manganese Dioxide Ingot' - <no NBT>]"
"ingotManganeseOxide","[nuclearcraft:ingot_oxide@2 - 'Manganese Oxide Ingot' - <no NBT>]"
"ingotManyullyn","[tconstruct:ingots@2 - 'Manyullyn Ingot' - <no NBT>]"
"ingotMarshmallow","[nuclearcraft:marshmallow@0 - 'Marshmallow' - <no NBT>]"
"ingotMeatCooked","[industrialmeat:cooked_meat_ingot@0 - 'Meat Ingot' - <no NBT>]"
"ingotMeatRaw","[industrialmeat:raw_meat_ingot@0 - 'Raw Meat Ingot' - <no NBT>]"
"ingotMelodicAlloy","[enderio:item_alloy_endergy_ingot@2 - 'Melodic Alloy Ingot' - <no NBT>]"
"ingotMidasium",""
"ingotMirion","[plustic:mirioningot@0 - 'Mirion Ingot' - <no NBT>]"
"ingotMithminite","[thaumadditions:mithminite_ingot@0 - 'Mithminite Ingot' - <no NBT>]"
"ingotMithril","[thermalfoundation:material@136 - 'Mana Infused Ingot' - <no NBT>]; [magneticraft:ingots@9 - 'Mithril Ingot' - <no NBT>]"
"ingotMithrillium","[thaumadditions:mithrillium_ingot@0 - 'Mithrillium Ingot' - <no NBT>]"
"ingotMixedMetal","[techreborn:ingot@21 - 'Mixed Metal Ingot' - <no NBT>]"
"ingotNaturalAluminum",""
"ingotNeptunium236","[nuclearcraft:neptunium@0 - 'Neptunium-236' - <no NBT>]"
"ingotNeptunium236Base","[nuclearcraft:neptunium@0 - 'Neptunium-236' - <no NBT>]"
"ingotNeptunium236Oxide","[nuclearcraft:neptunium@1 - 'Neptunium-236 Oxide' - <no NBT>]"
"ingotNeptunium237","[nuclearcraft:neptunium@4 - 'Neptunium-237' - <no NBT>]; [nuclearcraft:neptunium@5 - 'Neptunium-237 Oxide' - <no NBT>]"
"ingotNeptunium237Base","[nuclearcraft:neptunium@4 - 'Neptunium-237' - <no NBT>]"
"ingotNeptunium237Oxide","[nuclearcraft:neptunium@5 - 'Neptunium-237 Oxide' - <no NBT>]"
"ingotNickel","[thermalfoundation:material@133 - 'Nickel Ingot' - <no NBT>]; [magneticraft:ingots@10 - 'Nickel Ingot' - <no NBT>]"
"ingotOrichalcos","[extrabotany:material@1 - 'Orichalcos Ingot' - <no NBT>]"
"ingotOrichalcum",""
"ingotOsgloglas","[plustic:osgloglasingot@0 - 'Osgloglas Ingot' - <no NBT>]"
"ingotOsmiridium","[plustic:osmiridiumingot@0 - 'Osmiridium Ingot' - <no NBT>]"
"ingotOsmium","[mekanism:ingot@1 - 'Osmium Ingot' - <no NBT>]; [magneticraft:ingots@11 - 'Osmium Ingot' - <no NBT>]"
"ingotOureclase",""
"ingotPhotonium","[extrabotany:material@8 - 'Photonium' - <no NBT>]"
"ingotPigiron","[tconstruct:ingots@4 - 'Pigiron Ingot' - <no NBT>]"
"ingotPlatinum","[thermalfoundation:material@134 - 'Platinum Ingot' - <no NBT>]"
"ingotPlutonium","[techreborn:ingot@25 - 'Plutonium Ingot' - <no NBT>]; [bigreactors:ingotblutonium@0 - 'Blutonium Ingot' - <no NBT>]"
"ingotPlutonium238","[nuclearcraft:plutonium@0 - 'Plutonium-238' - <no NBT>]; [nuclearcraft:plutonium@1 - 'Plutonium-238 Oxide' - <no NBT>]"
"ingotPlutonium238Base","[nuclearcraft:plutonium@0 - 'Plutonium-238' - <no NBT>]"
"ingotPlutonium238Oxide","[nuclearcraft:plutonium@1 - 'Plutonium-238 Oxide' - <no NBT>]"
"ingotPlutonium239","[nuclearcraft:plutonium@4 - 'Plutonium-239' - <no NBT>]"
"ingotPlutonium239Base","[nuclearcraft:plutonium@4 - 'Plutonium-239' - <no NBT>]"
"ingotPlutonium239Oxide","[nuclearcraft:plutonium@5 - 'Plutonium-239 Oxide' - <no NBT>]"
"ingotPlutonium241","[nuclearcraft:plutonium@8 - 'Plutonium-241' - <no NBT>]"
"ingotPlutonium241Base","[nuclearcraft:plutonium@8 - 'Plutonium-241' - <no NBT>]"
"ingotPlutonium241Oxide","[nuclearcraft:plutonium@9 - 'Plutonium-241 Oxide' - <no NBT>]"
"ingotPlutonium242","[nuclearcraft:plutonium@12 - 'Plutonium-242' - <no NBT>]; [nuclearcraft:plutonium@13 - 'Plutonium-242 Oxide' - <no NBT>]"
"ingotPlutonium242Base","[nuclearcraft:plutonium@12 - 'Plutonium-242' - <no NBT>]"
"ingotPlutonium242Oxide","[nuclearcraft:plutonium@13 - 'Plutonium-242 Oxide' - <no NBT>]"
"ingotPrometheum",""
"ingotPrudentium","[mysticalagriculture:crafting@34 - 'Prudentium Ingot' - <no NBT>]"
"ingotPsi","[psi:material@1 - 'Psimetal Ingot' - <no NBT>]"
"ingotPulsatingIron","[enderio:item_alloy_ingot@5 - 'Pulsating Iron Ingot' - <no NBT>]"
"ingotQuartz","[tp:quartz_ingot@0 - 'Quartz Ingot' - <no NBT>]"
"ingotQuicksilver",""
"ingotRedstone","[tp:redstone_ingot@0 - 'Redstone Ingot' - <no NBT>]"
"ingotRedstoneAlloy","[enderio:item_alloy_ingot@3 - 'Redstone Alloy Ingot' - <no NBT>]"
"ingotRefinedGlowstone","[mekanism:ingot@3 - 'Glowstone Ingot' - <no NBT>]"
"ingotRefinedIron","[techreborn:ingot@19 - 'Refined Iron Ingot' - <no NBT>]"
"ingotRefinedObsidian","[mekanism:ingot@0 - 'Refined Obsidian Ingot' - <no NBT>]"
"ingotReinforcedObsidian","[tp:reinforced_obsidian_ingot@0 - 'Reinforced Obsidian Ingot' - <no NBT>]"
"ingotRubracium",""
"ingotRutile",""
"ingotSanguinite",""
"ingotShade","[tg:ingot_shade@0 - 'Shaded Ingot' - <no NBT>]"
"ingotShadowIron",""
"ingotShadowSteel",""
"ingotShadowium","[extrabotany:material@5 - 'Shadowium' - <no NBT>]"
"ingotShibuichi","[nuclearcraft:alloy@7 - 'Shibuichi Alloy' - <no NBT>]"
"ingotSiCSiCCMC","[nuclearcraft:alloy@14 - 'SiC-SiC Ceramic Matrix Composite' - <no NBT>]"
"ingotSignalum","[thermalfoundation:material@165 - 'Signalum Ingot' - <no NBT>]"
"ingotSiliconCarbide","[nuclearcraft:alloy@13 - 'Silicon Carbide Ingot' - <no NBT>]"
"ingotSilver","[thermalfoundation:material@130 - 'Silver Ingot' - <no NBT>]; [magneticraft:ingots@12 - 'Silver Ingot' - <no NBT>]"
"ingotSlimePink","[industrialforegoing:pink_slime_ingot@0 - 'Pink Slime Ingot' - <no NBT>]"
"ingotSoularium","[enderio:item_alloy_ingot@7 - 'Soularium Ingot' - <no NBT>]"
"ingotSoulium","[mysticalagriculture:crafting@38 - 'Soulium Ingot' - <no NBT>]"
"ingotSpectre","[randomthings:ingredient@3 - 'Spectre Ingot' - <no NBT>]"
"ingotSteel","[thermalfoundation:material@160 - 'Steel Ingot' - <no NBT>]; [magneticraft:ingots@6 - 'Steel Ingot' - <no NBT>]; [tp:steel_ingot@0 - 'Steel Ingot' - <no NBT>]"
"ingotStellarAlloy","[enderio:item_alloy_endergy_ingot@3 - 'Stellar Alloy Ingot' - <no NBT>]"
"ingotStygianIron","[woot:stygianironingot@0 - 'Stygian Iron Ingot' - <no NBT>]"
"ingotSuperium","[mysticalagriculture:crafting@36 - 'Superium Ingot' - <no NBT>]"
"ingotSupremium","[mysticalagriculture:crafting@37 - 'Supremium Ingot' - <no NBT>]"
"ingotTartarite",""
"ingotTerrasteel","[botania:manaresource@4 - 'Terrasteel Ingot' - <no NBT>]"
"ingotThauminite","[thaumicbases:thauminite_ingot@0 - 'Thauminite Ingot' - <no NBT>]"
"ingotThaumium","[thaumcraft:ingot@0 - 'Thaumium Ingot' - <no NBT>]"
"ingotThaumiumAer","[thaumicrestoration:item_ingot@0 - 'Air Infused Thaumium' - <no NBT>]"
"ingotThaumiumAqua","[thaumicrestoration:item_ingot@2 - 'Water Infused Thaumium' - <no NBT>]"
"ingotThaumiumIgnis","[thaumicrestoration:item_ingot@1 - 'Fire Infused Thaumium' - <no NBT>]"
"ingotThaumiumOrdo","[thaumicrestoration:item_ingot@4 - 'Order Infused Thaumium' - <no NBT>]"
"ingotThaumiumPerditio","[thaumicrestoration:item_ingot@5 - 'Entropy Infused Thaumium' - <no NBT>]"
"ingotThaumiumTerra","[thaumicrestoration:item_ingot@3 - 'Earth Infused Thaumium' - <no NBT>]"
"ingotThermoconducting","[nuclearcraft:alloy@11 - 'Thermoconducting Alloy' - <no NBT>]"
"ingotThorium","[techreborn:ingot@23 - 'Thorium Ingot' - <no NBT>]; [nuclearcraft:ingot@3 - 'Thorium Ingot' - <no NBT>]"
"ingotThorium230","[nuclearcraft:thorium@0 - 'Thorium-230' - <no NBT>]; [nuclearcraft:thorium@1 - 'Thorium-230 Oxide' - <no NBT>]"
"ingotThorium230Base","[nuclearcraft:thorium@0 - 'Thorium-230' - <no NBT>]"
"ingotThorium230Oxide","[nuclearcraft:thorium@1 - 'Thorium-230 Oxide' - <no NBT>]"
"ingotThorium232","[nuclearcraft:thorium@4 - 'Thorium-232' - <no NBT>]"
"ingotThorium232Base","[nuclearcraft:thorium@4 - 'Thorium-232' - <no NBT>]"
